contador,distancia1,distancia2,humedad,temperatura,time
0,1,16,82.79199,18.41,2025-01-05T14:59:19.419407571Z
1,1,16,82.78027,18.41,2025-01-05T14:59:26.543939884Z
0,1,16,82.81445,18.41,2025-01-05T14:59:33.753072729Z
1,1,16,82.79004,18.4,2025-01-05T14:59:40.866317884Z
0,1,16,82.78027,18.41,2025-01-05T14:59:47.985327855Z
1,1,16,82.80273,18.41,2025-01-05T14:59:55.153274486Z
0,1,16,82.84766,18.41,2025-01-05T15:00:02.269722145Z
1,1,16,82.84766,18.41,2025-01-05T15:00:09.393600695Z
0,1,16,82.85742,18.4,2025-01-05T15:00:16.50381197Z
1,1,16,82.8584,18.4,2025-01-05T15:00:23.726977419Z
0,1,16,82.80273,18.41,2025-01-05T15:00:30.864196356Z
1,1,16,82.85742,18.4,2025-01-05T15:00:38.071577143Z
0,1,16,82.84766,18.4,2025-01-05T15:00:45.187986362Z
1,1,16,82.85742,18.4,2025-01-05T15:00:52.397778364Z
0,1,16,82.8584,18.41,2025-01-05T15:00:59.517449219Z
1,1,16,82.83496,18.4,2025-01-05T15:01:06.730873749Z
0,1,16,82.82324,18.4,2025-01-05T15:01:13.845672414Z
1,1,16,82.79004,18.4,2025-01-05T15:01:21.067088128Z
0,1,16,82.85547,18.39,2025-01-05T15:01:28.176344975Z
1,1,16,82.8457,18.4,2025-01-05T15:01:35.296780571Z
0,1,16,82.87793,18.39,2025-01-05T15:01:42.403194542Z
1,1,16,82.86426,18.39,2025-01-05T15:01:49.50692792Z
0,1,16,82.87598,18.39,2025-01-05T15:01:56.608288198Z
1,1,16,82.85547,18.39,2025-01-05T15:02:03.7713502Z
0,1,16,82.8457,18.4,2025-01-05T15:02:10.892263555Z
1,1,16,82.86426,18.38,2025-01-05T15:02:18.009510139Z
0,1,16,82.86621,18.39,2025-01-05T15:02:25.120322517Z
